id,user_id,gender,generation,classification_type,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,total,level,mental,physical,life,society,created_at,updated_at
810,204,,,ver1,30,20,40,10,40,30,40,10,40,20,40,40,40,10,40,40,40,20,30,40,40,40,40,40,40,40,40,40,,,940,7,220,180,280,260,2021/4/22 7:22,2021/4/22 7:22
811,204,,,ver1,20,40,40,40,40,40,40,40,40,30,40,40,10,10,40,40,40,10,40,30,40,40,40,40,40,20,40,20,,,950,7,250,190,250,260,2021/4/22 7:24,2021/4/22 7:24
812,204,,,ver1,20,40,40,40,40,30,40,20,40,20,40,40,40,40,40,40,40,10,30,40,40,40,40,40,40,20,40,20,,,970,7,240,200,280,250,2021/4/22 9:38,2021/4/22 9:38
813,204,,,ver1,30,40,40,40,40,30,40,30,40,30,40,40,10,10,40,40,40,20,30,20,40,40,40,40,40,30,40,30,,,950,7,240,200,250,260,2021/4/22 13:18,2021/4/22 13:18
814,204,,,ver1,20,40,40,40,40,40,40,40,40,30,40,40,10,20,40,30,40,30,40,40,40,40,40,40,40,30,40,30,,,1000,7,260,230,250,260,2021/4/22 17:52,2021/4/22 17:53
815,204,,,ver1,20,40,40,40,40,30,40,30,40,20,40,40,20,10,40,30,40,30,30,40,40,40,40,40,40,30,40,30,,,960,7,250,200,260,250,2021/4/22 19:26,2021/4/22 19:27
816,204,,,ver1,20,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,,,690,5,140,140,210,200,2021/4/22 20:24,2021/4/22 20:25
817,204,,,ver1,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,,,700,5,210,210,140,140,2021/4/22 20:25,2021/4/22 20:25
818,204,,,ver1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,560,4,140,140,140,140,2021/4/22 20:27,2021/4/22 20:27
819,204,,,ver1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,560,4,140,140,140,140,2021/4/23 11:16,2021/4/23 11:16
820,204,,,ver1,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,,,420,3,140,140,70,70,2021/4/23 11:17,2021/4/23 11:17
821,204,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,10,10,,,340,2,80,90,80,90,2021/4/23 12:19,2021/4/23 12:19
822,204,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,280,1,70,70,70,70,2021/4/23 15:46,2021/4/23 15:46
823,204,,,ver1,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,,,980,7,210,210,280,280,2021/4/23 15:47,2021/4/23 15:47
824,204,,,ver1,40,30,30,30,40,30,30,30,40,30,30,30,40,30,30,30,40,30,40,30,30,30,30,30,40,30,30,30,,,910,7,210,210,250,240,2021/4/23 15:49,2021/4/23 15:49
825,204,,,ver1,40,30,30,30,40,30,30,30,40,30,30,30,40,30,30,30,40,30,40,30,30,30,30,30,40,30,30,30,,,910,7,210,210,250,240,2021/4/23 15:49,2021/4/23 15:49
826,204,,,ver1,40,30,30,30,30,30,40,30,30,30,30,30,30,30,40,30,30,30,30,30,30,30,40,30,30,30,30,30,,,880,6,210,210,220,240,2021/4/23 15:49,2021/4/23 15:49
827,204,,,ver1,40,40,40,40,40,40,40,30,40,40,40,40,20,30,40,40,40,30,30,30,40,30,40,40,40,40,40,40,,,1040,8,260,250,260,270,2021/4/27 7:47,2021/4/27 7:49
828,204,,,ver1,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,40,40,40,40,30,30,30,30,30,30,40,40,,,980,7,250,240,250,240,2021/4/29 14:08,2021/4/29 14:10
829,204,,,ver1,20,40,30,40,30,20,40,10,10,40,30,40,10,20,10,40,40,10,30,40,30,20,40,40,40,30,40,30,,,820,6,240,180,200,200,2021/4/30 15:35,2021/4/30 15:36
830,204,,,ver1,10,40,30,40,30,20,40,10,10,40,30,40,10,30,10,30,40,10,30,40,30,30,40,40,40,30,40,40,,,830,6,240,200,200,190,2021/4/30 15:40,2021/4/30 15:40
831,204,,,ver1,10,40,40,40,40,30,40,30,40,40,40,40,10,20,40,40,40,10,30,40,30,30,40,40,40,30,40,20,,,930,7,250,200,240,240,2021/5/1 15:39,2021/5/1 15:40
832,204,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,280,1,70,70,70,70,2021/5/1 15:43,2021/5/1 15:43
833,204,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,280,1,70,70,70,70,2021/5/1 15:46,2021/5/1 15:46
834,204,male,40,ver1,40,40,40,40,40,40,40,30,40,30,40,40,30,40,40,40,40,20,40,10,10,10,10,10,10,10,10,10,,,800,6,180,190,210,220,2021/5/5 5:34,2021/5/5 5:35
835,204,male,40,ver1,40,40,40,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,,,760,6,280,280,70,130,2021/5/5 9:12,2021/5/5 9:15
836,204,male,40,ver1,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,,,700,5,280,280,70,70,2021/5/5 9:44,2021/5/5 9:44
837,204,male,40,ver1,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,,,700,5,280,280,70,70,2021/5/5 9:46,2021/5/5 10:11
838,204,male,40,ver1,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,,,700,5,70,70,280,280,2021/5/5 10:12,2021/5/5 10:12
839,204,male,40,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,280,1,70,70,70,70,2021/5/5 10:16,2021/5/5 10:16
840,204,female,40,ver1,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,,,700,5,280,280,70,70,2021/5/5 11:15,2021/5/5 11:21
841,204,male,40,ver1,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,,,700,5,70,70,280,280,2021/5/5 11:29,2021/5/5 11:29
842,204,male,40,ver1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,1120,8,280,280,280,280,2021/5/5 18:36,2021/5/5 18:36
